ID_EQUIPO;EQUIPO;MARCA;MODELO
1;Agitador de Mazini;LW Scientific;120021
2;Agitador de plaquetas;HELMER;PFS 96
3;Analizador Bacteriologico;bioMerieux;VITEK 2 COMPACT
4;Analizador Heliprobe;Kibion;HPU-011
5;Analizador de Coagulacion;Medtronic;ACT Plus
6;Analizador de Coagulacion;STAGO;STA COMPACT MAX
7;Analizador de Coagulacion;STAGO;START MAX
8;Analizador de Electrolitos;Nanoduct;1030
9;Analizador de Electrolitos;Roche;9180
10;Analizador de Gases;Roche;Cobas 221
11;Analizador de Hematologia;Sysmex;XN-1000
12;Analizador de Inmunoensayos;Abbott;ARCHITET I2000SR
13;Analizador de Inmunohematologia;Bio-Rad;TECHNO TWIN STATION
14;Analizador de Inmunologia;COBAS;COBAS 6000
15;Analizador de Inmunologia;Roche;COBAS e411
16;Analizador de Microelisa;DYNEX TECNOLOGIES;DS2
17;Analizador de Quimica;COBAS;COBAS 6000
18;Analizador de Sangre;Abbott;I-STAT 1 (300-G)
19;Analizador de muestras de orina;COBAS;U601
20;Angiografo;Siemens;AXION ARTIS ZEE CEILING
21;Anoscopio (Proctoscopio);Karl Storz;24954KK
22;Arco en C;Siemens;Cios Fit
23;Arco en C;Siemens;Siremobil Compac
24;Autoclave Vapor;PAFFOR;PAF340L1P
25;Autoclave Vapor;PAFFOR;PAFF-AR-500
26;Autoclave de Cassete;SCICAN;STATIM 2000
27;Balanza Gramera;Ohaus;700/800 series
28;Balanza Gramera;Ohaus;NVL5101/1
29;Balanza Gramera;Ohaus;TRIPLE BRAZO
30;Balanza Gramera;Seca;856
31;Balanza de Sangre;GENESIS;CM 350
32;Balanza de Sangre;Terumo;D601
33;Banda prueba de esfuerzo;Full vision;TMX425
34;Banda sin fin;keys;n.i
35;Banda sin fin;weslo;1005
36;Bano Serologico;Memmert;WB7
37;Bascula Analoga;Health o Meter;160 KG
38;Bascula Analoga;Health o Meter;160 kg
39;Bascula Analoga;Health o Meter;160 kgwa
40;Bascula Analoga;Health o Meter;160KG
41;Bascula Analoga;Health o Meter;160Kg
42;Bascula Analoga;Kex Germany;BR-2050
43;Bascula Analoga;Medic;N.I
44;Bascula Analoga;Seca;750
45;Bascula Analoga;Seca;762
46;Bascula Analoga Pediatrica;Health o Meter;386KGS
47;Bascula Analoga Pediatrica;Health o Meter;386KGS-01
48;Bascula Digital;Health o Meter;844KL
49;Bascula Digital;Health o Meter;844kl
50;Bascula Digital;JCM;150 Kg
51;Bascula Digital;Seca;803
52;Bascula Digital;Seca;813
53;Bascula Digital;Seca;874
54;Bascula Digital;Seca;n.i
55;Bascula Digital Pediatrica;Seca;354
56;Bascula de Mesa;Trumax;Fenix
