ID;ID_ORIGINAL;ID_EQUIPO;EQUIPO;MARCA;MODELO;SERIE;ACTIVO_FIJO;AREA;UBICACION;REGISTRO_SANITARIO;CLASIFICACION_RIESGO;ESTADO;PROPIETARIO_EQUIPO;ENCARGADO_MTTO_MP;PERIODICIDAD_MP
1;2;1;Agitador de Mazini;LW Scientific;120021;1202021;V110909;Biomedico;Bodega de Biomedico;INVIMA 2015DM-0013386;No especifica;FUERA DE SERVICIO;Cosmitet Ltda.;Cosmitet Ltda.;N/A
2;3;2;Agitador de plaquetas;HELMER;PFS 96;692852;V112841;Banco de Sangre;Infecciosas;No aplica (ACTA No. 07 Junio 10 de 2009);No Aplica;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
3;4;3;Analizador Bacteriologico;bioMerieux;VITEK 2 COMPACT;VK2C4579 730390;N.I;Laboratorio;Microbiologia;CF77104150;No especifica;DISPONIBLE;Biomerieux;Biomerieux;ANUAL
4;5;5;Analizador de Coagulacion;Medtronic;ACT Plus;AST1002439;N.I;Cirugia;Sala 1;INVIMA 2009DM-0003182;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
5;6;6;Analizador de Coagulacion;STAGO;STA COMPACT MAX;CF77104150;DM-000785;Laboratorio;Hematologia - Coagulacion;INVIMA 2024DM-0028876;CLASE IIA;DISPONIBLE;ANNAR;ANNAR;SEMESTRAL
6;7;7;Analizador de Coagulacion;STAGO;START MAX;1195115001371;DM-000154;Laboratorio;Hematologia - Coagulacion;INVIMA 2024DM-0028876;CLASE IIA;DISPONIBLE;ANNAR;ANNAR;ANUAL
7;8;8;Analizador de Electrolitos;Nanoduct;1030;1030140423;V113424;Laboratorio;Almacen;No especifica;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
8;9;9;Analizador de Electrolitos;Roche;9180;15967;N.A;Laboratorio;Urgencias Microscopia;INVIMA 2019DM-0019363;No especifica;DISPONIBLE;Roche;Roche;ANUAL
9;10;10;Analizador de Gases;Roche;Cobas 221;27039;N.I;UCI 1;UCI 1;INVIMA 2019DM-0019363;No especifica;DISPONIBLE;Roche;Roche;ANUAL
10;11;10;Analizador de Gases;Roche;Cobas 221;27724;N.I;UCI 2;Deposito de equipos;INVIMA 2019DM-0019363;CLASE IIA;DISPONIBLE;Roche;Roche;ANUAL
