ID;ID_EQUIPO;COSTO;FECHA_INGRESO;FECHA_INICIO_OP;PRECIO_DEPRECIACION;AÑOS_USO;VIDA_UTIL;OBSOLESCENCIA_PCT;NIVEL_OBSOLESCENCIA;MTO_CORRECTIVO
BIO_1;2;2769000;02/07/2015;01/08/2015;138000;10.3;10;87.5;Proximo a obsoleto;2
BIO_2;1;3137000;03/01/2018;06/02/2018;804000;7.8;10;58.7;Envejeciendo;0
BIO_3;3;9571000;14/12/2014;31/01/2015;479000;10.9;10;93.7;Proximo a obsoleto;3
BIO_4;4;69143000;02/09/2013;04/10/2013;3457000;12.2;8;81.2;Proximo a obsoleto;1
BIO_5;6;79482000;02/05/2024;20/06/2024;65324000;1.5;8;14.1;Vigente;0
BIO_6;7;48944000;17/06/2017;08/08/2017;2447000;8.3;8;100.0;Obsoleto;4
BIO_7;8;56180000;11/12/2017;24/01/2018;3343000;7.9;8;99.2;Proximo a obsoleto;4
BIO_8;9;25160000;23/02/2013;18/04/2013;1258000;12.7;8;81.2;Proximo a obsoleto;1
BIO_9;10;50109000;25/06/2022;04/08/2022;30294000;3.3;8;43.7;En uso normal;2
BIO_10;11;67657000;30/10/2017;29/12/2017;3383000;8.0;8;87.5;Proximo a obsoleto;2
BIO_11;11;55570000;30/01/2015;13/03/2015;2778000;10.8;8;75.0;Proximo a obsoleto;0
BIO_12;11;74351000;18/09/2020;06/11/2020;29499000;5.1;8;60.1;Envejeciendo;2
BIO_13;11;93761000;22/04/2023;08/06/2023;65926000;2.5;8;23.4;Vigente;0
BIO_14;12;30740000;08/10/2014;24/11/2014;1537000;11.1;8;87.5;Proximo a obsoleto;2
BIO_15;13;90469000;10/02/2021;30/03/2021;39439000;4.8;8;50.8;Envejeciendo;1
BIO_16;14;42662000;24/07/2014;24/08/2014;2133000;11.3;8;81.2;Proximo a obsoleto;1
BIO_17;15;61803000;29/06/2019;31/07/2019;24109000;6.4;10;54.4;Envejeciendo;1
BIO_18;16;70993000;08/04/2015;20/05/2015;3550000;10.6;10;87.5;Proximo a obsoleto;2
BIO_19;17;39693000;08/03/2021;12/04/2021;22083000;4.7;10;47.5;En uso normal;2
BIO_20;20;21304000;13/09/2017;03/11/2017;4951000;8.1;10;73.1;Envejeciendo;2
BIO_21;18;42058000;02/11/2016;19/12/2016;6098000;9.0;10;73.8;Envejeciendo;1
BIO_22;19;57897000;15/05/2023;26/06/2023;44146000;2.5;10;31.3;En uso normal;2
BIO_23;5;20032000;05/12/2017;25/01/2018;4960000;7.9;10;71.9;Envejeciendo;2
BIO_24;21;1086820000;20/02/2018;17/04/2018;558879000;7.7;15;38.3;En uso normal;0
BIO_25;22;5363000;29/01/2020;11/03/2020;2433000;5.8;10;55.6;Envejeciendo;2
BIO_26;24;194578000;25/09/2017;23/11/2017;70113000;8.1;12;75.5;Proximo a obsoleto;4
BIO_27;23;175107000;08/10/2017;27/11/2017;63097000;8.1;12;69.3;Envejeciendo;3
BIO_28;27;11575000;17/04/2023;21/05/2023;8738000;2.6;10;31.9;En uso normal;2
BIO_29;25;16777000;14/07/2018;05/09/2018;7148000;7.2;12;70.3;Envejeciendo;4
BIO_30;26;17212000;23/11/2018;15/01/2019;7783000;6.9;12;68.2;Envejeciendo;4
BIO_31;152;79920000;16/12/2021;26/01/2022;50158000;3.9;10;35.6;En uso normal;1
BIO_32;32;5555000;06/06/2024;21/07/2024;4806000;1.4;10;10.6;Vigente;0
BIO_33;32;2957000;18/06/2015;22/07/2015;148000;10.4;10;81.2;Proximo a obsoleto;1
BIO_34;32;4167000;21/06/2022;09/08/2022;2849000;3.3;10;25.0;En uso normal;0
BIO_35;33;4405000;24/07/2021;11/09/2021;2626000;4.2;10;50.6;Envejeciendo;3
